Below are data for ortho-tolunitrile in purely electrostatic and CN-HB-conditions with water and MeOH.
Electric fields and HB geometry are reported together with vibrational frequencies and TDMs of the CN.
See 10.26434/chemrxiv-2024-rjm5p for further details

EF_x	EF_y	EF_z	env	HB_angle	HB_distance	v
-10.9539	-22.7123	-20.4440	H2O	100.00	3.50	2228.85
-9.8010	-25.0131	-19.2677	H2O	90.00	3.50	2227.14
-8.6254	-26.4065	-18.6651	H2O	80.00	3.50	2225.60
0.6815	-22.7575	-7.6039	H2O	70.00	3.50	2231.47
-18.1443	-1.7725	-28.0214	H2O	170.00	3.50	2238.45
-19.7591	-4.0149	-26.6861	H2O	160.00	3.50	2238.00
-21.0991	-6.2692	-24.8871	H2O	150.00	3.50	2237.13
-22.1774	-8.3796	-22.8135	H2O	140.00	3.50	2236.03
-23.6891	-12.4278	-18.1942	H2O	120.00	3.50	2233.45
-23.9025	-13.4213	-15.8785	H2O	110.00	3.50	2232.45
-22.3913	-16.3732	-14.6217	H2O	90.00	3.50	2227.96
-21.9042	-17.6315	-14.3513	H2O	80.00	3.50	2222.52
-18.7798	0.0896	-27.7979	H2O	170.00	3.50	2238.57
-21.2486	0.0016	-25.9676	H2O	160.00	3.50	2238.19
-25.3030	-0.0083	-21.2813	H2O	140.00	3.50	2236.58
-27.0715	-0.0224	-18.5427	H2O	130.00	3.50	2235.54
-28.7274	0.0226	-15.7765	H2O	120.00	3.50	2234.42
-30.1383	0.0041	-13.5856	H2O	110.00	3.50	2232.88
-30.9571	-0.0248	-13.1884	H2O	100.00	3.50	2228.94
-14.0913	0.5480	-21.2571	H2O	170.00	3.75	2237.08
-16.1134	0.0759	-19.9062	H2O	160.00	3.75	2236.83
-17.8264	0.2174	-18.2760	H2O	150.00	3.75	2236.28
-19.3057	0.1735	-16.4811	H2O	140.00	3.75	2235.58
-20.7075	0.0364	-14.4772	H2O	130.00	3.75	2234.79
-22.0186	0.0206	-12.4457	H2O	120.00	3.75	2234.01
-23.1363	-0.0250	-10.8068	H2O	110.00	3.75	2232.98
-21.3991	-5.0051	-11.4110	H2O	100.00	3.75	2231.28
-18.4865	-10.1466	-11.9140	H2O	90.00	3.75	2228.34
-14.9416	-14.7824	-11.7402	H2O	80.00	3.75	2225.99
-9.7794	-17.5614	-10.9953	H2O	70.00	3.75	2225.05
-12.0437	-6.7448	-21.2318	H2O	150.00	3.75	2235.74
-10.8224	-11.3131	-19.4641	H2O	130.00	3.75	2233.58
-9.2719	-15.6572	-17.0940	H2O	110.00	3.75	2230.88
-8.3370	-17.9074	-15.8897	H2O	100.00	3.75	2229.41
-7.3264	-20.1377	-14.8374	H2O	90.00	3.75	2227.92
-6.2393	-22.2074	-14.0850	H2O	80.00	3.75	2226.37
0.1343	-17.7212	-3.3830	H2O	70.00	3.75	2231.93
